form	categorical_judgment
v E ě P z T z à K N J H w k S Z á J m á h Q R é A L w N O V M b D a	ungrammatical
x b M Y ò y w o é R m K E O h a ó d K A è C K J d P c N h a t d s ó	ungrammatical
ù á ě F a a C W k è ú s k ě z a ǒ a Z C ó ù n a q J q U y ó C u u R M	grammatical
á H ǒ m A á G P s w a ǒ p á E Z é S W ò l I y j a g s I F A a a X a X	grammatical
é C P è ǎ s z ě ǒ z ó a ě a o ù T C U H a é V ě z T m a o ú T a U ú ó	grammatical
ě t a ǎ K ó a j Y B E S j a m D r a Z y p è N P Z a ǔ a O ó d g f c A	grammatical
ú J ě u X a X é p r N I m I o l Z a V a ò D K t z Y I a a y O e t L g	grammatical
B g N è L D V a a ǔ q l a s S a r a I ǔ v W q m z f X W á g j k ó N S	grammatical
E j p K a ǎ s a Q a L k a a ó ě c L r c Y i j M K s ǎ L ě n p V q f R	grammatical
H O A i a k z R a a u ò K S Y x E y t a a p c C z à r y s ù J D ú K o	grammatical
K F M t V a ó ǎ T I á M ò ú x E a A P X Y q a G m Q ě a á M a A v P ò	grammatical
M a M a K R Z C n a y l W u a a á I q F J Z ǔ K n d R à J á p o è w h	grammatical
P ú a g H K ò D A a è u ǔ a ù W W R X k K r P R l g a a a z a P h x W	grammatical
S é a T a a T ǔ O s V q a h è v ǒ é p Q l ó ǒ C ò V D a é h K L F ò á	grammatical
U a a a p F ó ǎ Q a n Z s G T D è K j a I w T u Z ù q e e A B B A L U	grammatical
X Y ú ó B a g Q A D o E p v n ě V q Y à J W W T a a a a c f u p U b D	grammatical
a ù a S G j ú a è W o l a ǎ R F u G Q z a f w e t p ǎ ò x M K a m V c	grammatical
a E v a á j g A j F t F h a K a a E K Q H N q i P I W A ù n h N t O c	grammatical
a U a v j x l p ú G v O G ě i G D L é K a h ú V S a L a c n m O d E ò	grammatical
a i R ǎ O a A t i N k ù è E j r I D a P s D u T V è T ě a a ú C L l Q	grammatical
a y u i I a H j Q r q m G E a N B w q h P Y I X a l p a x y d l G U S	grammatical
i V m S y i a ǎ u A B T a Z è m h s B l R Q ò E a a ó m x a ǎ T v G T	grammatical
l a j z G á y D a ě Q N Z è T a V M V é t V a a R à U Y ù á u e ǔ N O	grammatical
o Z ó é w G o q è ú a X y A I U Q o P I a ú a à t a z j w U x k a ě a	grammatical
r O W s Y y k B a E q q a h m x a F m a L ú à E G D S L a x f á f X i	grammatical
u P ǒ m s I l r á ǒ R k A r ǒ a A á W i u w ù è C a ǎ ǎ E C i a a a k	grammatical
x F a Y l P I g v o g a a U ǎ B a K P S M J a D B j c P e ǎ U X U l i	grammatical
ù ǔ h ǒ m S ǒ o M g u k Y B ǔ I L é ǎ a K g O y ó q H ú v t ù n o q h	ungrammatical
á K a H I d b T t ú S k á Y b a c x z ě H ě ó d A e O H b o Y N l o a	ungrammatical
ǎ p w e é y o D t J ú D x h ú O X k M u ú t N a S N I v V t R q á V G	ungrammatical
ě G c g p q h ǔ ò K p b Q W R x h H ù k q g F Z r E P e y T N u I ú C	ungrammatical
ò o m t C z L T ǒ b W n y q V U o E r ǒ L H e á é G g ò E O ó ú S V à	ungrammatical
ú w ǎ ě c s U ó M B c t ǎ W K F H q W I V K I T è P d ě I j o u j c y	ungrammatical
C d F h l x B T K f Q h è b P E t B ǔ b ǔ F w à à R ǔ O p A y K p n P	ungrammatical
F K K x x k o g j g E C q T t a ò F V ò o L A ò á j Y j w r S Q H e W	ungrammatical
I è n T z i k k p F ù i ò è ǔ m p p B ǎ N n Q j R R H W é k v d c e E	ungrammatical
K j a G y O q U è à ù S F w C C t C F ǒ w g R V r ó ě R ǒ j Q P w y ě	ungrammatical
M k h ú á x v A i R ǔ a h J x ó q ú ǒ c à A Q c v Y V V D d M V w A x	ungrammatical
P D r J X ǔ X o u K W y t F i g p ù q R è x g k h I t b è z à ě k Z ǔ	ungrammatical
S ù a w h p h ǔ ò j ě V Y Z è n ó d m l R Z H é ò h ò ǎ J i I n ú w o	ungrammatical
U T h i s z o Y é Z è s à a I ě V m Q f D H t Y w á A o q d V H g à A	ungrammatical
X Z ù ě M q o V ǎ ò D w G U Y b J ǔ m L K D D V ǔ C i é X P q m X D ǔ	ungrammatical
a é B I L r a h o ǔ ǎ T ó G Z d m à s T w P t ò c B ó Y ǔ g z c R ù ú	ungrammatical
c l W Q S ò I q T B ú U k B ó B ò E U E j i x i G l u j M á m S ó u e	ungrammatical
e w c p U K L q x J F e T D t i B u W t h Y F i ò E c Q T i Z ú f o w	ungrammatical
h Q s à ǒ G Q w C Z i H c p à D y á e b X ǎ l F é m t á T S M X R G è	ungrammatical
j v J ù l p U á V à M v e ǔ x k F m E T n W W b R á H h d ù d è ù m I	ungrammatical
m a b h P n k p Y t Q z b á Q F P H Z D ò j v Z h l X W ǎ K r x G c e	ungrammatical
p N x ǔ g y Z S H e Z t Z v ò P R s è x ě X R r M N f h m F E w ǎ b I	ungrammatical
s é M ú k i ǒ i ǔ t G L j V V t g d d V K e r h s ò E K n r á I h q l	ungrammatical
u h r ǒ c u s o B L x o C c a g N S i a M g b t Z F Y R a s E C X U ǒ	ungrammatical
x h ǎ m q k j j ǔ J B u ě s b V q O P s I w v ě N A v Q á Q o h N ó D	ungrammatical
ù ǎ a U U C U a C W T n N h ě m G N r q k B a a a B a Z t H d y A d u L	grammatical
á a M m h C o ù a H B X a T q a o B m s K g A p a K u b J V ě T x l k b	grammatical
é ǒ r a g v X t J è N a n C x j A Z R ù R a ǎ h a N i Z s i j r a J I t	grammatical
ó B B r v l O à ó r p á M ǎ i t n E s q i a g á è a ó a a ě E ó é a y ú	grammatical
ǒ t P l L a M x U a r o S é N T ǎ m X u D h a g K J J h y a P ě a I A a	grammatical
B Y U y h r a g á ǎ ǒ a ó y j F h S B ù a v F p a s M á C u D R ǔ ǒ o a	grammatical
E J ǎ Y U s a Q N u s a ǔ S p G w ù g r a r T U q h a p E O A a è U ó n	grammatical
H g a o L a y i ò u T ǎ o Y U a g é x G D I y p a ù a n s c z i ǒ p d q	grammatical
J u X ú w s a é H ú o J A a o C I H r ú n Y E i ǒ a a G J ù ǒ ě y a è O	grammatical
M j K ò z ú o a m Z w O N a A é j S T J à i Q Z a a a K q e g K U V ǒ ě	grammatical
P z ǔ j A F Z F I ǎ V x a i Z y R V P Y T ǔ a a v h a a m D t S o h ǎ h	grammatical
S x w Y L a H F x a ú z X a m Y P ǒ N T r ù W t ǒ Q E n a à i V G Q Q a	grammatical
W ú a F a á R E ǒ C ǔ ǔ ù R A E N h u a E m C h s j l a G m L I a A o f	grammatical
Z ǎ y a a ǒ U W ǔ ě a ó U ǎ x ě B Q ǎ w S o a è j é H ǔ v a P w V x Q c	grammatical
a ǒ u G á z I Y g a ǒ q C a a a I m W u o ǒ t f Q R s s o ě C P V ǔ é i	grammatical
a Q a K O U l ó B m n á K ǒ p U r a è ù q K m ò z n ǔ V g a s B u a Y N	grammatical
a a s B W g ó W D ó K a M ǔ r a A á B ǒ p u T ǎ á B u a X S ò Z C i à ǎ	grammatical
a v L a ǒ z U a F C N ò U A o J G E p a S t a E N è O o R ǒ Z r ě n m C	grammatical
h z M o X ò a F u P H O J h o Q a q Y g Q A G a R L ú L a z X ǒ L G a z	grammatical
k a V h á I S a s a à g ǔ O y ò j K j A K a A o à q G i I B a D á E U P	grammatical
n R ó ú a m a Y L a t L r w a N ù r R B Q ú W W F O C z T k ó S a M e M	grammatical
p q o à a a o p i g Q ǒ p V á n k ǔ j M P E a C ě u ó ù ú q a v D a M X	grammatical
s I a A a K N Q ù h o ǒ U k Q a T X n w R a l à j i ǔ a F N ù p G b C L	grammatical
v ǔ C a z K Z J ǎ a à T j a R a T a z Z I N o F V ù v T w V I ǔ e á j E	grammatical
y ǔ O C á y k a ǒ à j E ě A Z A ú ě V è t à W a a r W á E x Q a l a m X	grammatical
ù ò ǒ S C X M q T ǒ J c w ǒ ù D X Y h P n U f K ǔ R X z d l i R P B C o	ungrammatical
á a x I N q L L ǎ o R è o r é p n I z f R C f c K H ó ò ě K Y g ú Z B N	ungrammatical
ǎ p j F F ù u á ǒ w g è k p ú k à ǔ I K y à I F E L v p H l t X E O F C	ungrammatical
ě c ǔ f B J i q T ù b g o a r H ó ǎ Y j D R n F é y A B ǔ v A d m D c X	ungrammatical
ǒ E g b é ù R é D o Q t B W ò g H é p J l o a K j w q z n R é T S é C ě	ungrammatical
A X w o ò h Z x ǒ g ù ǎ v ǎ X B D H s P Q E ǒ à ò á ò W I N á é d g w k	ungrammatical
D M é O u y ǎ O u i c m q ǎ j k A h Z X n v i u é ó j w p v i J m B z I	ungrammatical
F a G ǔ p j a N o é C T F K s f F ú G h ǎ T ǎ ě W o y ě ǔ ù w à ǒ ò K R	ungrammatical
I h F ě ú F O w m U ò u p à I Z Q q b y é H t O O i r à I M ú T B z V I	ungrammatical
